experiment,final_reward,max_reward,steps,best_model,plot
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42,122.0790,127.2909,247808,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042,120.0389,125.9532,233746,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042,123.3965,128.0932,231424,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42,122.0790,127.2909,247808,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042,120.0389,125.9532,233746,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042,123.3965,128.0932,231424,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42,122.0790,127.2909,247808,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042,127.8022,128.5571,264192,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042,132.6172,132.6172,260896,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42,136.8270,137.5259,269288,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042,127.8022,128.5571,264192,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042,132.6172,132.6172,260896,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42,136.8270,137.5259,269288,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042,127.8022,128.5571,264192,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042,132.6172,132.6172,260896,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042.png
